judul,harga,gambar
Buku Akuntansi Sektor Publik,173000,https://deepublishstore.com/wp-content/uploads/2025/07/2505164_UNMAS_Akuntansi-Sektor-Publik_Ida-Ayu-Ratih-70gr-Convert-Depan-200x267.jpg
Buku Digital Entrepreneurship,100000,https://deepublishstore.com/wp-content/uploads/2023/10/digital-entre-cover-200x267.png
Buku Perilaku Konsumen (Edisi Revisi),174000,https://deepublishstore.com/wp-content/uploads/2023/08/perilaku-konsumen-cover-200x267.png
Buku Teknik Penyusunan Laporan Keuangan Berba...,146000,https://deepublishstore.com/wp-content/uploads/2023/01/laporan-keuangan-200x267.png
Buku Mudah Membuat Laporan Keuangan (Panduan ...,122000,https://deepublishstore.com/wp-content/uploads/2022/12/WhatsApp-Image-2022-12-19-at-10.56.24-1-300x400.jpeg
Buku Mikro-Ekonometrika: Sebuah Pengantar,68000,https://deepublishstore.com/wp-content/uploads/2022/11/mikro-ekonomi-_1-300x400.png
Buku Pengantar Manajemen Bisnis Digital,70000,https://deepublishstore.com/wp-content/uploads/2022/06/Pengantar-Manajemen-Bisnis-Digital_Sekar-Outsource-depan-300x400.jpg
Buku Teknik Membuat Literature Review Bidang ...,258000,https://deepublishstore.com/wp-content/uploads/2021/08/Teknik-Membuat-Literature_Asyari-rev-1.0-depan-300x400.jpg
Buku Referensi Strategi Pemasaran 5.0,93000,https://deepublishstore.com/wp-content/uploads/2021/07/STRATEGI-PEMASARAN-5.0_Zulki-Zulkifli-Retno-Widyani_70gr_Convert_Depan-300x400.jpg
Buku Kewirausahaan dan Studi Kelayakan Bisnis...,110000,https://deepublishstore.com/wp-content/uploads/2021/05/Kewirausahaan-dan-Studi-Kelayakan_Apri-Winge-70gr-Convert-depan-300x400.jpg
Buku Literasi Keuangan Berbasis Fintech Bagi ...,134000,https://deepublishstore.com/wp-content/uploads/2020/11/LITERASI-KEUANGAN-BERBASIS-FINTECH_Christian-Herdinata-rev-2.0-depan-scaled-300x400.jpg
Buku Ekonomi Wilayah Untuk Perencanaan Tata R...,0,https://deepublishstore.com/wp-content/uploads/2020/01/Ekonomi-Wilayah-Untuk-Perencanaan-Tata-Ruang_Retno-Widodo-depan-scaled-300x400.jpg
Buku Paradigma Masterpiece Keuangan Islam dan...,133000,https://deepublishstore.com/wp-content/uploads/2019/07/Paradigma-Masterpiece-Keuangan-Islam_Muhammad-Hadi-Asliah-depan-scaled-300x400.jpg
Buku Dasar Manajemen Konstruksi Proyek Jalan ...,108000,https://deepublishstore.com/wp-content/uploads/2018/12/Dasar-Manajemen-Konstruksi-Proyek-Jalan_Derry-Perdana-Munsil-revisi-2.0-Convert-depan-scaled-300x400.jpg
Buku Analytical Hierarchy Process (Ahp) Tekni...,114000,https://deepublishstore.com/wp-content/uploads/2018/12/Analytical-Hierarchy-Process-AHP-Apip-rev-1.0-Convert-depan-scaled-300x400.jpg
Buku Supply Chain Management,204000,https://deepublishstore.com/wp-content/uploads/2018/05/Supply-Chain-Management-Arif-Convert-depan-300x400.jpg
Buku Ajar Perekonomian Indonesia,77500,https://deepublishstore.com/wp-content/uploads/2018/04/Buku-Ajar-Perekonomian-Indonesia-Sattar-rev-1.0-Converrt-depan-300x400.jpg
Buku Statistika Ekonomi dan Bisnis,140000,https://deepublishstore.com/wp-content/uploads/2017/11/Statistika-Ekonomi-dan-bisnis-depan-scaled-300x400.jpg
Buku Sistem Pendukung Keputusan,131000,https://deepublishstore.com/wp-content/uploads/2017/10/sistem-pendukung-keputusan-convert-dpn1-300x400.jpg
Buku Manajemen Proyek Konstruksi,101000,https://deepublishstore.com/wp-content/uploads/2017/05/Manajemen-Proyek-Konstruksi-Convert-depan1-300x400.jpg
Buku Tata Kelola Koperasi yang Baik (Good Coo...,84000,https://deepublishstore.com/wp-content/uploads/2017/03/Tata-Kelola-Koperasi-Good-Cooperative-Governance-Convert-depan-300x400.jpg
Buku Concept & Indicator Human Resources ...,116000,https://deepublishstore.com/wp-content/uploads/2016/11/Concept-Indicator-pilihan-Convert-depan-scaled-300x400.jpg
Buku Transformasi Keuangan Digital: Strategi ...,81500,https://deepublishstore.com/wp-content/uploads/2025/02/2412113_Transformasi-Keuangan-Digital_Christian-Herdinata-rev-4.0_DEPAN-200x267.jpg
Bahan Ajar Kewirausahaan,129000,https://deepublishstore.com/wp-content/uploads/2023/07/bahan-ajar-K-200x267.png
Buku Potongan dan Pungutan PPh Pasal 21 dan P...,153000,https://deepublishstore.com/wp-content/uploads/2023/02/potongan_-200x267.png
Buku Pengantar Ilmu Ekonomi dan Bisnis,79000,https://deepublishstore.com/wp-content/uploads/2023/01/buku-ajar-pengantar-300x400.png
Buku Pengantar Ekonomi Lingkungan dan Sumber ...,100000,https://deepublishstore.com/wp-content/uploads/2023/01/pengantar-ekonomi-3-300x400.png
Buku Kinerja Usaha Berbasis Pengamalan Nilai ...,73000,https://deepublishstore.com/wp-content/uploads/2022/09/kinerja-usaha-cover-200x267.jpg
Buku Akuntansi Perusahaan Dagang,154000,https://deepublishstore.com/wp-content/uploads/2022/01/Akuntansi-Perusahaan-Dagang_Aam-Aminah-rev-2.0-70gr-Convert-Depan-300x400.jpg
Buku Business as a Way of Life of Jan Darmadi,158000,https://deepublishstore.com/wp-content/uploads/2021/10/Business-as-a-Way-Of-Life-of-Jan-Darmadi-300x400.jpg
Book Chapter Strategi Pemasaran: UMKM dan Pan...,110000,https://deepublishstore.com/wp-content/uploads/2021/08/Book-Chapter-Strategi-Pemasaran_Agni-Rizkita-rev-6.0-70gr-Convert-depan-300x400.jpg
Buku Dasar-Dasar Perpajakan,132000,https://deepublishstore.com/wp-content/uploads/2021/03/Dasar-dasar-Perpajakan_Hantono-rev-1.0_70gr_Convert_Depan-300x400.jpg
Buku Produk Kreatif dan Kewirausahaan,132000,https://deepublishstore.com/wp-content/uploads/2021/03/PRODUK-KREATIF-DAN-KEWIRAUSAHAAN_Erna-Sapti-Wulandari-S.P.M.Pd_70gr_Convert-2-scaled-300x400.jpg
Buku Politik Kerjasama Perdagangan Bilateral ...,113000,https://deepublishstore.com/wp-content/uploads/2020/11/Politik-Kerjasama-Perdagangan_Kusman-Malik-rev-1.0-Convet-depan-300x400.jpg
Buku Ajar Manajemen Pemasaran di Era Masyarak...,75000,https://deepublishstore.com/wp-content/uploads/2020/02/Buku-Ajar-Manajemen-Pemasaran_Achmad-Rizal-depan-scaled-300x400.jpg
Buku Optimasi Rantai Pasok Formulasi Dan Solu...,0,https://deepublishstore.com/wp-content/uploads/2019/09/Optimasi-Rantai-Pasok-Formulasi-dan-Solusi_Carles-Sitompul-depan-scaled-300x400.jpg
Buku Manajemen Sumber Daya Manusia Strategi P...,125000,https://deepublishstore.com/wp-content/uploads/2018/12/Manajemen-Sumber-Daya-Manusia-Strategi-Pemberdayaan-UMKM-Kiki-Farida-rev-1.0-Convert-dean-1-scaled-300x400.jpg
Buku Transfer Pricing & Cara Membuat TP D...,85000,https://deepublishstore.com/wp-content/uploads/2018/11/Transfer-Pricing-dan-Cara-membuat-TP-Doc-Karianton-rev-1.0-Convert-depan-scaled-300x400.jpg
Buku Cara Mudah Menyusun Business Plan untuk ...,171000,https://deepublishstore.com/wp-content/uploads/2018/11/Cara-Mudah-Menyusun-Business-Plan-Gema-rev-1.0-Convert-depan-300x400.jpg
Buku Komunikasi Pemasaran melalui Desain Visu...,67000,https://deepublishstore.com/wp-content/uploads/2018/07/Capture-300x400.jpg
Buku Globalisasi Pemasaran (Marketing Globali...,79000,https://deepublishstore.com/wp-content/uploads/2018/03/Globalisasi-Pemasaran-Didin-Fatihudin-ISBN-ebook-depan-scaled-300x400.jpg
Buku Hotel Hygiene dan Sanitation,139000,https://deepublishstore.com/wp-content/uploads/2018/02/Hotel-Hygiene-and-sanitation-depan1-300x400.jpg
Buku Praktikum Manajemen Operasional,66000,https://deepublishstore.com/wp-content/uploads/2017/04/Praktikum-Manajemen-Operasional-Depan2-300x400.jpg
Buku Peningkatan Kinerja Sumber Daya Manusia,126000,https://deepublishstore.com/wp-content/uploads/2017/01/Peningkatan-Kinerja-Sumber-Daya-Manusia-Melalui-Motivasi-Disiplin-Lingkungan-Kerja-dan-Komitmen-Depan-300x400.jpg
Buku Ekonomi Pembangunan sebuah Kajian Teoret...,58500,https://deepublishstore.com/wp-content/uploads/2016/11/ekonomi-pembangunan-depan-scaled-300x400.jpg
Buku Strategi Perencanaan dan Perancangan Per...,104000,https://deepublishstore.com/wp-content/uploads/2016/10/9ac2e26ad6c9e012b752703b7bf24b7a-200x267.jpg
Buku Aset Hak Kekayaan Intelektual Sebagai Ja...,80000,https://deepublishstore.com/wp-content/uploads/2016/10/d3795b97273b1d8e6ad968576047fd91-200x267.jpg
Buku Akuntansi Keuangan Lanjutan,114000,https://deepublishstore.com/wp-content/uploads/2025/08/2506213_VVIP_Akuntansi-Keuangan-Lanjutan_Audry-Leiwakabessy-D_T-depan-200x267.jpg
Buku Filsafat Ekonomi: Perspektif Interdisipl...,117000,https://deepublishstore.com/wp-content/uploads/2025/05/Filsafat-Ekonomi-Perspektif-Interdisiplin-Ilmu_Erwin-Lessy_REV-1.0_depan-200x267.jpg
Buku Green Accounting untuk Perusahaan dan Le...,132000,https://deepublishstore.com/wp-content/uploads/2025/03/2503054_Green-Accounting-untuk-Perusahaan-dan-Lembaga-depan-200x267.jpg
Buku Pemeriksaan Pajak dan Investigasi,77000,https://deepublishstore.com/wp-content/uploads/2025/01/2412118_Pemeriksaan-Pajak-dan-Investigasi_Astri-Warih-rev-4.0-Depan-200x267.jpg
Buku Keuangan Publik Syariah Teori dan Aplika...,285000,https://deepublishstore.com/wp-content/uploads/2025/01/Keuangan-Publik_Ahadiah-Agustina-depan-200x267.jpg
Buku Perpajakan,164000,https://deepublishstore.com/wp-content/uploads/2024/11/Perpajakan_Anna-Sutrisna-depan-200x267.jpg
Buku Technopreneurship Sebagai Alternatif Men...,193000,https://deepublishstore.com/wp-content/uploads/2024/03/Technopreneurship-sebagai-Alternatif_Ellen_REV-5.0-depan-200x267.jpg
Buku Strategi Peningkatan Ekspor Industri Fur...,105000,https://deepublishstore.com/wp-content/uploads/2024/03/peningkatan-ekspor-200x267.png
Buku Kewirausahaan Syariah,85000,https://deepublishstore.com/wp-content/uploads/2024/01/kewirausahaan-syariah-cover4-200x267.png
Buku Lembaga Keuangan Syariah,98000,https://deepublishstore.com/wp-content/uploads/2023/12/lembaga-keuangan-syariah-200x267.png
Buku Bisnis Internasional Teori dan Aplikasi,81000,https://deepublishstore.com/wp-content/uploads/2023/03/bisnis-internasional-200x267.png
Buku Islamic Social Entrepreneurship,158000,https://deepublishstore.com/wp-content/uploads/2023/03/islamic_1-200x267.png
